# COSI2 B0 scan
# time 2024-08-12 14:51:30.992518
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
9.986,-90.001,-10.013,-47.5430,-0.9800,-0.5200,47.5560
9.986,-90.001,-20.013,-47.5430,-0.9800,-0.5100,47.5560
9.986,-90.001,-30.013,-47.5460,-0.9800,-0.5200,47.5590
9.986,-90.001,-40.013,-47.5510,-0.9700,-0.5300,47.5640
9.986,-90.001,-50.013,-47.5530,-0.9800,-0.5300,47.5660
9.986,-90.001,-60.013,-47.5560,-0.9800,-0.5500,47.5690
9.986,-90.001,-70.013,-47.5550,-0.9700,-0.5700,47.5680
19.986,-90.001,-70.013,-47.5530,-0.9600,-0.5800,47.5670
19.986,-90.001,-60.013,-47.5460,-0.9600,-0.5600,47.5590
19.986,-90.001,-50.013,-47.5460,-0.9700,-0.5600,47.5600
19.986,-90.001,-40.013,-47.5400,-0.9700,-0.5400,47.5530
19.986,-90.001,-30.013,-47.5420,-0.9800,-0.5400,47.5530
19.986,-90.001,-20.013,-47.5330,-0.9800,-0.5200,47.5440
19.986,-90.001,-10.013,-47.5320,-0.9800,-0.5200,47.5440
19.986,-90.001,-0.013,-47.5360,-0.9700,-0.5100,47.5490
19.986,-90.001,9.987,-47.5380,-0.9800,-0.5000,47.5510
19.986,-90.001,19.987,-47.5370,-0.9900,-0.5000,47.5500
19.986,-90.001,29.987,-47.5440,-0.9800,-0.5000,47.5570
19.986,-90.001,39.987,-47.5550,-0.9900,-0.4900,47.5680
