# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
84.014,-83.962,11.977,-47.2640,-0.8400,0.4500,47.2730
84.014,-83.962,-0.023,-47.2370,-0.8400,0.4300,47.2460
84.014,-83.962,-12.023,-47.2250,-0.8100,0.4100,47.2340
84.014,-71.962,-36.023,-47.2280,-0.8000,0.3900,47.2310
84.014,-71.962,-24.023,-47.2310,-0.7900,0.3800,47.2360
84.014,-71.962,-12.023,-47.2400,-0.8200,0.4000,47.2450
84.014,-71.962,-0.023,-47.2470,-0.8200,0.4100,47.2520
84.014,-71.962,11.977,-47.2530,-0.8300,0.4200,47.2630
84.014,-71.962,23.977,-47.2560,-0.8400,0.4200,47.2660
84.014,-71.962,35.977,-47.2530,-0.8400,0.4400,47.2630
72.014,-71.962,59.977,-47.2800,-0.8400,0.4600,47.2900
72.014,-71.962,47.977,-47.3060,-0.8200,0.4600,47.3150
72.014,-71.962,35.977,-47.2790,-0.8300,0.4500,47.2890
72.014,-71.962,23.977,-47.2740,-0.8300,0.4200,47.2840
72.014,-71.962,11.977,-47.2590,-0.8200,0.4200,47.2720
72.014,-71.962,-0.023,-47.2600,-0.8100,0.4100,47.2670
72.014,-71.962,-12.023,-47.2490,-0.8100,0.3900,47.2570
72.014,-71.962,-24.023,-47.2480,-0.8100,0.3800,47.2570
72.014,-71.962,-36.023,-47.2480,-0.8000,0.3800,47.2570
72.014,-71.962,-48.023,-47.2470,-0.7900,0.3700,47.2550
72.014,-71.962,-60.023,-47.2580,-0.7900,0.3500,47.2660
60.014,-71.962,-72.023,-47.2800,-0.8000,0.3500,47.2880
60.014,-71.962,-60.023,-47.2740,-0.8000,0.3700,47.2820
60.014,-71.962,-48.023,-47.2620,-0.7900,0.3700,47.2700
